공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url
2026,0000530,0000530,전주비전대학교,본교,전문대학,전문대학,사립,전북,기존,1035,2852,5.3,83.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000288,0000288,정석대학,본교,대학,기술대학,사립,서울,기존,100,23,.1,11.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0002668,0002668,제네바신학대학원대학교,본교,대학원대학,전문대학원,사립,경기,기존,30,4,-,3.3,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000532,0000532,제주관광대학교,본교,전문대학,전문대학,사립,제주,기존,820,1541,1.9,91.7,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000248,0000248,제주국제대학교,본교,대학,대학교,사립,제주,기존,370,263,.1,2.7,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000027,0000027,제주대학교,본교,대학,대학교,국립,제주,기존,2235,9306,6.5,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000533,0000533,제주산업정보대학,본교,전문대학,전문대학,사립,제주,폐교,0,0,0,0.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0002655,0002655,제주한라대학교,본교,전문대학,전문대학,사립,제주,기존,1484,3897,1.5,73.3,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0002974,0002974,조선간호대학교,본교,전문대학,전문대학,사립,광주,기존,152,735,7.4,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000172,0000172,조선대학교,본교,대학,대학교,사립,광주,기존,4354,17911,5.7,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000534,0000534,조선이공대학교,본교,전문대학,전문대학,사립,광주,기존,1492,2806,3.3,94.2,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000680,0000680,주안대학원대학교,본교,대학원대학,전문대학원,사립,인천,기존,25,85,-,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000173,0000173,중부대학교,본교,대학,대학교,사립,충남,기존,1645,6991,7.5,100.1,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000175,0000174,중앙대학교,제2캠퍼스,대학,대학교,사립,경기,기존,1168,4963,10.6,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000175,0000175,중앙대학교,본교,대학,대학교,사립,서울,기존,3210,18637,24.3,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000177,0000177,중앙승가대학교,본교,대학,대학교,사립,경기,기존,120,53,.1,10.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000239,0000239,중원대학교,본교,대학,대학교,사립,충북,기존,812,3324,3.6,98.1,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000260,0000260,진주교육대학교,본교,대학,교육대학,국립,경남,기존,319,1169,5.4,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
