기준년도,학교명,본분교명,설립유형,전임교원 1인당 연구비(교내),전임교원 1인당 연구비(교외)
2009,고신대학교,본교,사립,1964.3,7426.5
2009,관동대학교,본교,사립,365.0,16092.7
2009,광신대학교,본교,사립,708.7,0.0
2009,광운대학교,본교,사립,8068.0,106923.1
2009,광주가톨릭대학교,본교,사립,0.0,0.0
2009,광주대학교,본교,사립,315.3,11312.2
2009,광주여자대학교,본교,사립,1652.6,6002.5
2009,국민대학교,본교,사립,5175.7,84242.4
2009,국제사이버대학교,본교,사립,0.8,462.3
2009,극동대학교,본교,사립,0.0,9489.1
2009,글로벌사이버대학교,본교,사립,0.0,0.0
2009,금강대학교,본교,사립,6691.0,35038.7
2009,김천대학교,본교,사립,0.0,0.0
2009,꽃동네현도사회복지대학교,본교,사립,954.5,909.1
2009,나사렛대학교,본교,사립,2005.1,2378.7
2009,남부대학교,본교,사립,0.0,7196.3
2009,남서울대학교,본교,사립,1209.3,8639.6
2009,단국대학교,본교,사립,5200.8,38841.3
2009,대구가톨릭대학교,본교,사립,3616.5,22697.5
2009,대구대학교,본교,사립,3902.0,15512.9
2009,대구사이버대학교,본교,사립,0.0,0.0
2009,대구예술대학교,본교,사립,277.8,138.9
2009,대구외국어대학교,본교,사립,0.0,0.0
2009,대구한의대학교,본교,사립,3318.2,22509.9
2009,대불대학교,본교,사립,192.3,692.3
2009,대신대학교,본교,사립,161.8,0.0
2009,대전가톨릭대학교,본교,사립,0.0,0.0
2009,대전대학교,본교,사립,806.9,22328.5
2009,대전신학대학교,본교,사립,0.0,0.0
2009,대진대학교,본교,사립,2893.9,18001.7
2009,덕성여자대학교,본교,사립,5626.9,16972.4
2009,동국대학교,본교,사립,17178.8,58895.4
2009,동덕여자대학교,본교,사립,1301.5,6277.5
2009,동명대학교,본교,사립,296.6,13934.9
2009,동서대학교,본교,사립,6853.6,8841.5
2009,동신대학교,본교,사립,208.0,18765.3
2009,동아대학교,본교,사립,4295.8,37999.1
2009,동양대학교,본교,사립,254.2,25472.4
2009,동의대학교,본교,사립,7540.6,38833.7
2009,디지털서울문화예술대학교,본교,사립,1907.2,0.0
2009,루터대학교,본교,사립,0.0,1208.6
2009,명신대학교,본교,사립,0.0,0.0
2009,명지대학교,본교,사립,3367.7,142485.9
2009,목원대학교,본교,사립,2477.6,8241.6
2009,목포가톨릭대학교,본교,사립,1000.0,2870.7
2009,배재대학교,본교,사립,1448.8,31705.3
2009,백석대학교,본교,사립,175.3,2386.7
2009,부산가톨릭대학교,본교,사립,1023.5,5010.3
2009,부산디지털대학교,본교,사립,0.0,0.0
2009,부산외국어대학교,본교,사립,2252.1,12677.8
2009,부산장신대학교,본교,사립,1235.3,1382.4
