기준년도,학교명,평가주기,설립구분,지역,통합지표값,원자료지표값,재계산지표값,분자,분모,단위,원본파일명,직원1인당학생수
2018,한성대학교,3,사립,서울,45.83851,45.8385,45.83851,7380.0,161.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,45.83851
2018,한양대학교,3,사립,서울,35.32449,35.32449,35.32449,22643.0,641.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,35.32449
2018,홍익대학교,3,사립,서울,47.90066,47.90066,47.90066,21699.0,453.0,students_per_staff,3주기 2018년도 대학현황지표 - 20260427111426.xlsx,47.90066
2019,감리교신학대학교,3,사립,서울,46.78788,46.78787,46.78788,1544.0,33.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,46.78788
2019,강서대학교,3,사립,서울,35.34884,35.34883,35.34884,1520.0,43.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,35.34884
2019,건국대학교,3,사립,서울,41.38163,41.38163,41.38163,20277.0,490.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,41.38163
2019,경희대학교,3,사립,서울,39.14384,39.14384,39.14384,34016.0,869.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,39.14384
2019,고려대학교,3,사립,서울,29.31724,29.31724,29.31724,29757.0,1015.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,29.31724
2019,광운대학교,3,사립,서울,43.06757,43.06756,43.06757,9561.0,222.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,43.06757
2019,국민대학교,3,사립,서울,41.94582,41.94582,41.94582,18582.0,443.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,41.94582
2019,덕성여자대학교,3,사립,서울,48.99174,48.99173,48.99174,5928.0,121.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,48.99174
2019,동국대학교,3,사립,서울,43.20494,43.20493,43.20494,17498.0,405.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,43.20494
2019,동덕여자대학교,3,사립,서울,54.08333,54.08333,54.08333,7139.0,132.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,54.08333
2019,삼육대학교,3,사립,서울,25.17094,25.17094,25.17094,5890.0,234.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,25.17094
2019,상명대학교,3,사립,서울,49.63345,49.63345,49.63345,13947.0,281.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,49.63345
2019,서강대학교,3,사립,서울,43.55642,43.55642,43.55642,11194.0,257.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,43.55642
2019,서경대학교,3,사립,서울,58.90598,58.90598,58.90598,6892.0,117.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,58.90598
2019,서울기독대학교,3,사립,서울,28.11538,28.11538,28.11538,731.0,26.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,28.11538
2019,서울여자대학교,3,사립,서울,37.97938,37.97938,37.97938,7368.0,194.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,37.97938
2019,서울한영대학교,3,사립,서울,19.45652,19.45652,19.45652,895.0,46.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,19.45652
2019,성공회대학교,3,사립,서울,35.21739,35.21739,35.21739,2430.0,69.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,35.21739
2019,성균관대학교,3,사립,서울,65.92944,65.92944,65.92944,27097.0,411.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,65.92944
2019,성신여자대학교,3,사립,서울,37.44231,37.4423,37.44231,9735.0,260.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,37.44231
2019,세종대학교,3,사립,서울,85.07784,85.07784,85.07784,14208.0,167.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,85.07784
2019,숙명여자대학교,3,사립,서울,34.57143,34.57142,34.57143,12342.0,357.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,34.57143
2019,숭실대학교,3,사립,서울,60.94361,60.9436,60.94361,16211.0,266.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,60.94361
2019,연세대학교,3,사립,서울,34.12275,34.12274,34.12275,30301.0,888.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,34.12275
2019,이화여자대학교,3,사립,서울,38.6121,38.61209,38.6121,21700.0,562.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,38.6121
2019,장로회신학대학교,3,사립,서울,48.17391,48.17391,48.17391,2216.0,46.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,48.17391
2019,중앙대학교,3,사립,서울,45.85601,45.85601,45.85601,28981.0,632.0,students_per_staff,3주기 2019년도 대학현황지표 - 20260427111422.xlsx,45.85601
